"","882100.WI","882101.WI","882102.WI","882103.WI","882104.WI","882105.WI","882106.WI","882107.WI","882108.WI","882109.WI","882110.WI","882111.WI","882112.WI","882113.WI","882114.WI","882115.WI","882116.WI","882117.WI","882118.WI","882119.WI","882120.WI","882121.WI","882122.WI","882123.WI"
"882100.WI",1,0.758558045433938,0.265087047276297,-0.0477103098117862,0.670639622172712,0.104275365430133,0.0878532605075205,0.194549441834503,0.124141381524099,0.396035426522081,0.094609348289936,0.167301102443277,0.173825547982293,-0.071501442568902,-0.0846988902573295,0.558505540493681,0.597516537725967,0.661785059393434,0.48352971972553,-0.0875149031934438,0.0231720889520895,0.14930692732757,0.582502589689782,0.446726365585701
"882101.WI",0.758558045433938,1,0.792269939924445,0.550426902349615,0.912708465438255,0.668643153985149,0.665868280600855,0.73616933863699,0.653922800693963,0.866721466261122,0.665512639599796,0.653819195365814,0.646766289604842,0.503993014454418,0.500039303965193,0.856706717108858,0.818604302406636,0.709625517799275,0.860167357125902,0.515584660521233,0.628206600784571,0.732722757005636,0.846928687825259,0.853714449858094
"882102.WI",0.265087047276297,0.792269939924445,1,0.926110584198771,0.747782260438703,0.955629684990563,0.967330501141764,0.956515913381285,0.925263816369574,0.970232090175429,0.971421441662491,0.878469905154177,0.843620715901421,0.900143605214327,0.896610967780025,0.82383372487519,0.764011423983749,0.448371697669881,0.887201266269967,0.909851475185114,0.951313337367264,0.949870332276184,0.798530968920734,0.918971340038156
"882103.WI",-0.0477103098117862,0.550426902349615,0.926110584198771,1,0.528490328479027,0.970225526720895,0.977944959305976,0.93421756013838,0.945561286749263,0.856732536460014,0.966340315769797,0.866501878821282,0.883085283768241,0.970292612106407,0.983085160595857,0.697696956003068,0.591817166714708,0.249078451947983,0.77390100513173,0.973611334688747,0.984060377534099,0.907579343795551,0.628595060323888,0.79960774728838
"882104.WI",0.670639622172712,0.912708465438255,0.747782260438703,0.528490328479027,1,0.614206244984664,0.630028160017672,0.745505812228456,0.696281129983401,0.810688143671195,0.623114403216186,0.472935750796608,0.535432756811277,0.433872938749744,0.441722097589121,0.859503349283111,0.888853716810619,0.828443523562686,0.882264237895012,0.552791894550428,0.61552167511568,0.69505738320595,0.905064725141312,0.907685565616837
"882105.WI",0.104275365430133,0.668643153985149,0.955629684990563,0.970225526720895,0.614206244984664,1,0.98664965676234,0.955760730656545,0.932808543262429,0.908952720755273,0.977964392053359,0.897991380274935,0.896464106080554,0.946159493754473,0.961939019699833,0.795132960833601,0.672512611835453,0.358266534826077,0.842369388608004,0.938469215387403,0.978163569301516,0.93191208023409,0.676679156432732,0.845169737710178
"882106.WI",0.0878532605075205,0.665868280600855,0.967330501141764,0.977944959305976,0.630028160017672,0.98664965676234,1,0.969003654436308,0.946157790452724,0.918544626141329,0.982031701045492,0.901585342465166,0.886803677481016,0.94928011414825,0.966850472837963,0.786140667570612,0.671835655878499,0.340941878056999,0.847168548058716,0.959421256580871,0.989961659078805,0.93193002475163,0.699684568131364,0.865773703283269
"882107.WI",0.194549441834503,0.73616933863699,0.956515913381285,0.93421756013838,0.745505812228456,0.955760730656545,0.969003654436308,1,0.94050174886827,0.934231565390596,0.940480127725838,0.839389699195933,0.850252113913874,0.868940223838678,0.90018405667181,0.859857390610693,0.74232187737616,0.501399882567801,0.925742223889585,0.930914716164393,0.966887305218498,0.922102715446822,0.762939688637995,0.918902396708846
"882108.WI",0.124141381524099,0.653922800693963,0.925263816369574,0.945561286749263,0.696281129983401,0.932808543262429,0.946157790452724,0.94050174886827,1,0.878798339603237,0.938178477828794,0.775193582778844,0.851006836825547,0.903892011771407,0.905857202934546,0.783734556833797,0.732115472824807,0.433942007796121,0.854309642252826,0.941836096006475,0.950262972496648,0.896314541428635,0.778324806421304,0.894511205288346
"882109.WI",0.396035426522081,0.866721466261122,0.970232090175429,0.856732536460014,0.810688143671195,0.908952720755273,0.918544626141329,0.934231565390596,0.878798339603237,1,0.921977881482051,0.851978097895935,0.817009482833813,0.817012454599784,0.819741462737784,0.849205107618573,0.77555702382264,0.508271741088932,0.904014213192922,0.826650892607983,0.89885009482483,0.930852939462263,0.821199139240555,0.916689565892816
"882110.WI",0.094609348289936,0.665512639599796,0.971421441662491,0.966340315769797,0.623114403216186,0.977964392053359,0.982031701045492,0.940480127725838,0.938178477828794,0.921977881482051,1,0.895812872968558,0.862723101382608,0.960139416666028,0.956006375007566,0.749496574800417,0.669555526733846,0.330216346712271,0.809332997493678,0.946066675980322,0.973173023149288,0.943037678217397,0.699001950309235,0.85052616956902
"882111.WI",0.167301102443277,0.653819195365814,0.878469905154177,0.866501878821282,0.472935750796608,0.897991380274935,0.901585342465166,0.839389699195933,0.775193582778844,0.851978097895935,0.895812872968558,1,0.882223835954622,0.890944569899683,0.89800158330254,0.702658595926268,0.521978497411825,0.197170333992921,0.708894294838402,0.79602676555786,0.866560206283091,0.821303588741573,0.556854767734216,0.708767459621054
"882112.WI",0.173825547982293,0.646766289604842,0.843620715901421,0.883085283768241,0.535432756811277,0.896464106080554,0.886803677481016,0.850252113913874,0.851006836825547,0.817009482833813,0.862723101382608,0.882223835954622,1,0.87394161526783,0.899090625251481,0.757654073366922,0.591243400194413,0.29070643805511,0.770443457545018,0.803185651787632,0.867573187444675,0.795059270507604,0.613582451990079,0.762781358557188
"882113.WI",-0.071501442568902,0.503993014454418,0.900143605214327,0.970292612106407,0.433872938749744,0.946159493754473,0.94928011414825,0.868940223838678,0.903892011771407,0.817012454599784,0.960139416666028,0.890944569899683,0.87394161526783,1,0.979717663001655,0.626487131017107,0.528174116640939,0.152093756791998,0.6886367525114,0.932586287431803,0.941348018642405,0.872280800521009,0.556902362442752,0.7305204732732
"882114.WI",-0.0846988902573295,0.500039303965193,0.896610967780025,0.983085160595857,0.441722097589121,0.961939019699833,0.966850472837963,0.90018405667181,0.905857202934546,0.819741462737784,0.956006375007566,0.89800158330254,0.899090625251481,0.979717663001655,1,0.667654916408036,0.52849688188915,0.159419463028721,0.723085060462047,0.945464417613387,0.962854354089847,0.864096177275526,0.559202677015274,0.745498876473682
"882115.WI",0.558505540493681,0.856706717108858,0.82383372487519,0.697696956003068,0.859503349283111,0.795132960833601,0.786140667570612,0.859857390610693,0.783734556833797,0.849205107618573,0.749496574800417,0.702658595926268,0.757654073366922,0.626487131017107,0.667654916408036,1,0.891995365642723,0.718470404244274,0.954080122331886,0.6862170330758,0.749895387981754,0.726857358524518,0.836253616646378,0.912587041681889
"882116.WI",0.597516537725967,0.818604302406636,0.764011423983749,0.591817166714708,0.888853716810619,0.672512611835453,0.671835655878499,0.74232187737616,0.732115472824807,0.77555702382264,0.669555526733846,0.521978497411825,0.591243400194413,0.528174116640939,0.52849688188915,0.891995365642723,1,0.752342189970931,0.88857503635486,0.624384962989641,0.634249286506176,0.640000128106364,0.882956100939088,0.902214615691325
"882117.WI",0.661785059393434,0.709625517799275,0.448371697669881,0.249078451947983,0.828443523562686,0.358266534826077,0.340941878056999,0.501399882567801,0.433942007796121,0.508271741088932,0.330216346712271,0.197170333992921,0.29070643805511,0.152093756791998,0.159419463028721,0.718470404244274,0.752342189970931,1,0.693764359596775,0.297918912468132,0.335361847939666,0.427172761202499,0.678050013044857,0.650971807267798
"882118.WI",0.48352971972553,0.860167357125902,0.887201266269967,0.77390100513173,0.882264237895012,0.842369388608004,0.847168548058716,0.925742223889585,0.854309642252826,0.904014213192922,0.809332997493678,0.708894294838402,0.770443457545018,0.6886367525114,0.723085060462047,0.954080122331886,0.88857503635486,0.693764359596775,1,0.771478163752003,0.82322339937597,0.805458470238228,0.857328618206554,0.961071640022878
"882119.WI",-0.0875149031934438,0.515584660521233,0.909851475185114,0.973611334688747,0.552791894550428,0.938469215387403,0.959421256580871,0.930914716164393,0.941836096006475,0.826650892607983,0.946066675980322,0.79602676555786,0.803185651787632,0.932586287431803,0.945464417613387,0.6862170330758,0.624384962989641,0.297918912468132,0.771478163752003,1,0.973127423080403,0.888477314657588,0.659113817179511,0.806517429416003
"882120.WI",0.0231720889520895,0.628206600784571,0.951313337367264,0.984060377534099,0.61552167511568,0.978163569301516,0.989961659078805,0.966887305218498,0.950262972496648,0.89885009482483,0.973173023149288,0.866560206283091,0.867573187444675,0.941348018642405,0.962854354089847,0.749895387981754,0.634249286506176,0.335361847939666,0.82322339937597,0.973127423080403,1,0.947193508317831,0.682107222184313,0.844464561795761
"882121.WI",0.14930692732757,0.732722757005636,0.949870332276184,0.907579343795551,0.69505738320595,0.93191208023409,0.93193002475163,0.922102715446822,0.896314541428635,0.930852939462263,0.943037678217397,0.821303588741573,0.795059270507604,0.872280800521009,0.864096177275526,0.726857358524518,0.640000128106364,0.427172761202499,0.805458470238228,0.888477314657588,0.947193508317831,1,0.696603412336727,0.8322223999879
"882122.WI",0.582502589689782,0.846928687825259,0.798530968920734,0.628595060323888,0.905064725141312,0.676679156432732,0.699684568131364,0.762939688637995,0.778324806421304,0.821199139240555,0.699001950309235,0.556854767734216,0.613582451990079,0.556902362442752,0.559202677015274,0.836253616646378,0.882956100939088,0.678050013044857,0.857328618206554,0.659113817179511,0.682107222184313,0.696603412336727,1,0.902568716386095
"882123.WI",0.446726365585701,0.853714449858094,0.918971340038156,0.79960774728838,0.907685565616837,0.845169737710178,0.865773703283269,0.918902396708846,0.894511205288346,0.916689565892816,0.85052616956902,0.708767459621054,0.762781358557188,0.7305204732732,0.745498876473682,0.912587041681889,0.902214615691325,0.650971807267798,0.961071640022878,0.806517429416003,0.844464561795761,0.8322223999879,0.902568716386095,1
