"","X882100.WI","X882101.WI","X882102.WI","X882103.WI","X882104.WI","X882105.WI","X882106.WI","X882107.WI","X882108.WI","X882109.WI","X882110.WI","X882111.WI","X882112.WI","X882113.WI","X882114.WI","X882115.WI","X882116.WI","X882117.WI","X882118.WI","X882119.WI","X882120.WI","X882121.WI","X882122.WI","X882123.WI","X882100.WI.1","X882101.WI.1","X882102.WI.1","X882103.WI.1","X882104.WI.1","X882105.WI.1","X882106.WI.1","X882107.WI.1","X882108.WI.1","X882109.WI.1","X882110.WI.1","X882111.WI.1","X882112.WI.1","X882113.WI.1","X882114.WI.1","X882115.WI.1","X882116.WI.1","X882117.WI.1","X882118.WI.1","X882119.WI.1","X882120.WI.1","X882121.WI.1","X882122.WI.1","X882123.WI.1"
"882100.WI",1,0.249054358300142,0.135349868314648,0.177172352941329,0.157662650698719,0.195606270586044,0.124541910588787,0.0266995284774339,0.121445794505609,0.118294617028128,0.184930138066032,0.312597945979669,0.318889987428437,0.275220820222709,0.220305474510249,0.138919873319577,-0.147242491646807,0.0161675576387221,0.0100627576390051,-0.043574655539421,0.077322125120518,0.135168540579717,-0.10051637311684,-0.0277523313276401,0,41,-360,-360,360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,360,-360,-360,-360,-360,-154,-360
"882101.WI",0.249054358300142,1,0.742323451553187,0.519892927787561,0.212222949422316,0.637728442798135,0.6437249842951,0.553879499612054,0.367551204933273,0.801754117455742,0.636914106387356,0.71249474144706,0.523739300938156,0.605296428253129,0.586653098804355,0.461868180720563,0.237221005173538,0.103255975527763,0.518697464724145,0.442083623231514,0.575277114620332,0.595916325435931,0.306179269555207,0.448354485118522,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,304,-360,0,0,0,0,12,0
"882102.WI",0.135349868314648,0.742323451553187,1,0.911784281926615,0.459809292194295,0.941750310232396,0.963531941010652,0.917695486522825,0.822589222780995,0.947260084119542,0.955167408720056,0.770703876149763,0.710132349877725,0.918440369413179,0.914807059024764,0.718126522350839,0.537259767434248,0.180792885987853,0.830305567658185,0.893981071031448,0.941868333948794,0.871261420465255,0.567344285732041,0.861831917273542,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-360,0,0,0,0,26,0
"882103.WI",0.177172352941329,0.519892927787561,0.911784281926615,1,0.304913422488078,0.958927573896502,0.96414372729116,0.927000825293311,0.937984049019177,0.838508657086281,0.951685890951029,0.778752535710635,0.847371836688663,0.961145836148133,0.979067295179929,0.804248592368098,0.484205669749167,0.202535479858052,0.813078598814834,0.907988812079126,0.967539521765731,0.854895266709214,0.524373006418016,0.862467872194398,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,213,-360,0,0,0,0,28,0
"882104.WI",0.157662650698719,0.212222949422316,0.459809292194295,0.304913422488078,1,0.327461407202444,0.401142439910133,0.49457560537042,0.481821155801493,0.447189438385123,0.347568769100784,-0.0532143954723821,0.240209385462963,0.239442310873438,0.235062979985825,0.172433957218371,0.627870430874421,0.232199896838364,0.49373254716581,0.601202491203942,0.463677596126886,0.424945349923035,0.570393477495886,0.55352288535979,-360,0,0,0,0,0,0,0,290,0,0,-158,360,292,360,360,86,341,0,0,0,0,28,0
"882105.WI",0.195606270586044,0.637728442798135,0.941750310232396,0.958927573896502,0.327461407202444,1,0.980207515523945,0.93700401916297,0.884080241336999,0.881521922125334,0.965333305639121,0.790355542082674,0.81012852870169,0.952835302929731,0.965935936349809,0.823691846191417,0.478202078822256,0.185026298974709,0.851403544770499,0.896903994169253,0.966588975894292,0.868208368916138,0.479658023573887,0.83363599806532,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,-360,0,0,0,0,117,0
"882106.WI",0.124541910588787,0.6437249842951,0.963531941010652,0.96414372729116,0.401142439910133,0.980207515523945,1,0.962563998119124,0.894409985764505,0.907021872425611,0.965570816438338,0.793866961161792,0.79367630872583,0.948901028615377,0.968019198948303,0.818745581250216,0.507396460835646,0.185339470010306,0.873933177521591,0.928976272646446,0.980980922061728,0.857232703203994,0.549209590108119,0.883955663820703,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,-360,0,0,0,0,51,0
"882107.WI",0.0266995284774339,0.553879499612054,0.917695486522825,0.927000825293311,0.49457560537042,0.93700401916297,0.962563998119124,1,0.862421086169697,0.864230133444971,0.910496625495374,0.700333698603053,0.699644699967596,0.86998666428098,0.909339428678196,0.782761219311311,0.55332347284279,0.161483583767831,0.913395785306115,0.951393184175398,0.97055817113725,0.835856219735524,0.547233388375712,0.869691346737155,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,-360,0,0,0,0,117,0
"882108.WI",0.121445794505609,0.367551204933273,0.822589222780995,0.937984049019177,0.481821155801493,0.884080241336999,0.894409985764505,0.862421086169697,1,0.742845052971247,0.883749445882612,0.627824347129986,0.751746731371688,0.902212512881669,0.903642491849763,0.709208818129506,0.506261975469194,0.209914949448654,0.763618137496383,0.900501729342664,0.916461407839496,0.792873069667013,0.621333103150503,0.846309056456516,360,0,0,0,-290,0,0,0,0,0,0,360,0,0,0,12,104,-360,0,0,0,-1,1,0
"882109.WI",0.118294617028128,0.801754117455742,0.947260084119542,0.838508657086281,0.447189438385123,0.881521922125334,0.907021872425611,0.864230133444971,0.742845052971247,1,0.903202783301632,0.772680763182646,0.673329730237281,0.851072429166557,0.849578912051925,0.668864139826833,0.510991409463117,0.112700343018254,0.767372565553783,0.798172734904012,0.877570144318965,0.838829987606749,0.543870413235368,0.759739548307506,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,221,-360,0,0,0,0,54,0
"882110.WI",0.184930138066032,0.636914106387356,0.955167408720056,0.951685890951029,0.347568769100784,0.965333305639121,0.965570816438338,0.910496625495374,0.883749445882612,0.903202783301632,1,0.81112510501471,0.78478556562803,0.965663780659894,0.959842402367007,0.76063160238741,0.468339515365851,0.191752988765154,0.774692561500435,0.883005642153089,0.952740710823097,0.886567068092191,0.527759055776849,0.844028723120314,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,-360,0,0,0,0,58,0
"882111.WI",0.312597945979669,0.71249474144706,0.770703876149763,0.778752535710635,-0.0532143954723821,0.790355542082674,0.793866961161792,0.700333698603053,0.627824347129986,0.772680763182646,0.81112510501471,1,0.849506729806757,0.843055727563245,0.848317962844687,0.781775605692192,0.225845108685671,0.159313912472205,0.573150350699122,0.562074807784075,0.720804257736092,0.63307115417798,0.275067227315382,0.58950801109328,360,0,0,0,158,0,0,0,-360,0,0,0,0,0,0,0,246,-360,0,0,0,0,56,0
"882112.WI",0.318889987428437,0.523739300938156,0.710132349877725,0.847371836688663,0.240209385462963,0.81012852870169,0.79367630872583,0.699644699967596,0.751746731371688,0.673329730237281,0.78478556562803,0.849506729806757,1,0.865335259251294,0.899234409627598,0.814414590026749,0.380809176207886,0.215228100439456,0.633544654633847,0.678860818464256,0.750548762472837,0.612687662384609,0.328735041816648,0.663352537266647,360,0,0,0,-360,0,0,0,0,0,0,0,0,0,0,0,-360,-360,0,-360,0,-127,0,0
"882113.WI",0.275220820222709,0.605296428253129,0.918440369413179,0.961145836148133,0.239442310873438,0.952835302929731,0.948901028615377,0.86998666428098,0.902212512881669,0.851072429166557,0.965663780659894,0.843055727563245,0.865335259251294,1,0.977383658524651,0.787714387182359,0.401449978807526,0.202936924538526,0.749152957276591,0.841531987869101,0.923269960065897,0.83030466820965,0.478413573059773,0.813771356671374,360,0,0,0,-292,0,0,0,0,0,0,0,0,0,0,0,48,-360,0,0,0,0,1,0
"882114.WI",0.220305474510249,0.586653098804355,0.914807059024764,0.979067295179929,0.235062979985825,0.965935936349809,0.968019198948303,0.909339428678196,0.903642491849763,0.849578912051925,0.959842402367007,0.848317962844687,0.899234409627598,0.977383658524651,1,0.857282979061407,0.436217241483728,0.210530874093373,0.812557901325309,0.862060951872444,0.945563731505226,0.809515718809667,0.493195878225559,0.857889615465985,360,0,0,0,-360,0,0,0,0,0,0,0,0,0,0,0,106,-360,0,0,0,0,1,0
"882115.WI",0.138919873319577,0.461868180720563,0.718126522350839,0.804248592368098,0.172433957218371,0.823691846191417,0.818745581250216,0.782761219311311,0.709208818129506,0.668864139826833,0.76063160238741,0.781775605692192,0.814414590026749,0.787714387182359,0.857282979061407,1,0.468893784016242,0.171414877902901,0.795773429240748,0.69403341731867,0.758259808314321,0.602215045678311,0.427224597004712,0.739848909802215,360,27,0,-12,-360,0,0,0,-12,10,0,0,0,0,0,0,0,-360,0,-9,-7,-294,87,9
"882116.WI",-0.147242491646807,0.237221005173538,0.537259767434248,0.484205669749167,0.627870430874421,0.478202078822256,0.507396460835646,0.55332347284279,0.506261975469194,0.510991409463117,0.468339515365851,0.225845108685671,0.380809176207886,0.401449978807526,0.436217241483728,0.468893784016242,1,0.113237615962857,0.647684413158475,0.606025865182435,0.547493103619883,0.57484531914936,0.630171086766638,0.683944402575279,360,-304,-77,-213,-86,-234,-102,-113,-104,-221,-102,-246,360,-48,-106,0,0,-352,0,-55,-222,-242,-47,-29
"882117.WI",0.0161675576387221,0.103255975527763,0.180792885987853,0.202535479858052,0.232199896838364,0.185026298974709,0.185339470010306,0.161483583767831,0.209914949448654,0.112700343018254,0.191752988765154,0.159313912472205,0.215228100439456,0.202936924538526,0.210530874093373,0.171414877902901,0.113237615962857,1,0.151214758896419,0.180930198463085,0.188337653961522,0.157855010136218,0.201783999809912,0.199544215556943,-360,360,360,360,-341,360,360,360,360,360,360,360,360,360,360,360,352,0,360,360,360,360,-360,360
"882118.WI",0.0100627576390051,0.518697464724145,0.830305567658185,0.813078598814834,0.49373254716581,0.851403544770499,0.873933177521591,0.913395785306115,0.763618137496383,0.767372565553783,0.774692561500435,0.573150350699122,0.633544654633847,0.749152957276591,0.812557901325309,0.795773429240748,0.647684413158475,0.151214758896419,1,0.867675246482283,0.850716118869946,0.629977638585201,0.547722249905908,0.870132001864561,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-360,0,0,0,0,40,0
"882119.WI",-0.043574655539421,0.442083623231514,0.893981071031448,0.907988812079126,0.601202491203942,0.896903994169253,0.928976272646446,0.951393184175398,0.900501729342664,0.798172734904012,0.883005642153089,0.562074807784075,0.678860818464256,0.841531987869101,0.862060951872444,0.69403341731867,0.606025865182435,0.180930198463085,0.867675246482283,1,0.957066796761148,0.828722444570733,0.602938579918091,0.888169208212484,360,0,0,0,0,0,0,0,0,0,0,0,360,0,0,9,55,-360,0,0,0,0,1,0
"882120.WI",0.077322125120518,0.575277114620332,0.941868333948794,0.967539521765731,0.463677596126886,0.966588975894292,0.980980922061728,0.97055817113725,0.916461407839496,0.877570144318965,0.952740710823097,0.720804257736092,0.750548762472837,0.923269960065897,0.945563731505226,0.758259808314321,0.547493103619883,0.188337653961522,0.850716118869946,0.957066796761148,1,0.908819382874012,0.553352858461107,0.866959316909003,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,222,-360,0,0,0,0,53,0
"882121.WI",0.135168540579717,0.595916325435931,0.871261420465255,0.854895266709214,0.424945349923035,0.868208368916138,0.857232703203994,0.835856219735524,0.792873069667013,0.838829987606749,0.886567068092191,0.63307115417798,0.612687662384609,0.83030466820965,0.809515718809667,0.602215045678311,0.57484531914936,0.157855010136218,0.629977638585201,0.828722444570733,0.908819382874012,1,0.473008449827443,0.686006698705755,360,0,0,0,0,0,0,0,1,0,0,0,127,0,0,294,242,-360,0,0,0,0,127,140
"882122.WI",-0.10051637311684,0.306179269555207,0.567344285732041,0.524373006418016,0.570393477495886,0.479658023573887,0.549209590108119,0.547233388375712,0.621333103150503,0.543870413235368,0.527759055776849,0.275067227315382,0.328735041816648,0.478413573059773,0.493195878225559,0.427224597004712,0.630171086766638,0.201783999809912,0.547722249905908,0.602938579918091,0.553352858461107,0.473008449827443,1,0.696657543517329,154,-12,-26,-28,-28,-117,-51,-117,-1,-54,-58,-56,0,-1,-1,-87,47,360,-40,-1,-53,-127,0,-26
"882123.WI",-0.0277523313276401,0.448354485118522,0.861831917273542,0.862467872194398,0.55352288535979,0.83363599806532,0.883955663820703,0.869691346737155,0.846309056456516,0.759739548307506,0.844028723120314,0.58950801109328,0.663352537266647,0.813771356671374,0.857889615465985,0.739848909802215,0.683944402575279,0.199544215556943,0.870132001864561,0.888169208212484,0.866959316909003,0.686006698705755,0.696657543517329,1,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,29,-360,0,0,0,-140,26,0
